TRANSACTION_TYPE,AMOUNT,IS_FRAUD,FRAUD_RATE_PCT,TOTAL_TRANSACTIONS,FRAUD_CASES,ORIGINAL_DETECTION_RATE,OUR_DETECTION_RATE,ORIGINAL_CAUGHT,OUR_CAUGHT
TRANSFER,399923.74,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,384508.46,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,221687.13,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,3139423.35,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,323411.69,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,65696.48,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,211022.64,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,62585.12,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,133966.06,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,105259.36,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,76254.02,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,158280.65,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,38302.52,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,332761.6,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,240746.27,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,539170.84,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,3947033.59,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,300421.85,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,148768.9,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,839008.91,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,359643.91,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,436939.63,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,308982.66,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,387426.1,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,232462.38,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,71729.34,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,99803.44,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,301579.42,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1897921.7,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,57204.07,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,278522.74,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,225324.05,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,44690.42,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,494442.2,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,106190.01,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,422938.71,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,35988.28,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,223574.47,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,202263.03,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,214973.48,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,441321.86,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,176669.36,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,71954.82,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,72009.76,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,10000000.0,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,810328.15,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,61196.76,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,277485.25,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,1051018.15,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,12845.71,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,47562.75,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,8349.85,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,134725.66,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,2169679.91,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,1327608.32,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,167288.91,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,797545.07,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,279728.8,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,454859.39,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,136424.07,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,101515.68,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,1330802.24,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,613449.54,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,116794.89,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,10000000.0,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,740124.95,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,1540624.7,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,8488865.83,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,38770.98,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,754874.26,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,3572736.74,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,710958.52,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,382546.97,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,215091.14,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1846748.79,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,21987.0,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,130479.52,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,92790.7,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1246169.57,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,115511.39,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,239646.72,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,751854.42,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,276020.31,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,34134.94,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,127511.38,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,50198.81,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,217357.58,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,168489.11,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,32300.24,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,35477.26,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,203942.19,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,152850.26,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,417129.11,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,161828.84,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,5052211.09,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,45807.51,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,361238.85,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,2722319.07,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,30245.46,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,314147.67,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,302866.55,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,7466.12,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,545780.7,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,266351.6,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,217452.1,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,437365.05,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,67336.2,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,71953.32,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,762782.66,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,102662.38,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,59811.76,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,427833.75,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,898808.17,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,1760061.57,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,354441.19,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,2173367.35,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,233600.44,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,246603.3,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,20724.12,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,142601.86,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,158092.46,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,168461.16,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1179253.07,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,5475018.52,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1016302.6,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,30465.36,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,6514.47,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,273265.73,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,394565.92,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,126604.71,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,42038.08,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,162554.04,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,279422.84,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,63155.69,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,22326.51,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1665334.68,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,129211.59,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,42782.68,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,6856104.02,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,198552.36,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,141569.6,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,3116889.41,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,736680.94,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,3723738.06,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,693857.43,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,25185.05,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,633459.44,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,1440705.58,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,246312.46,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,304358.04,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,251884.6,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,99804.21,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,167034.77,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,63624.08,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,881613.51,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,2299330.46,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,133010.63,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,245155.25,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,65900.29,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,11155.45,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,31608.62,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,452804.42,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,741277.85,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,141508.56,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,11257.15,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,348751.45,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,506340.42,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,254528.76,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,25846.67,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,106302.34,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,340198.41,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,307549.71,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,151893.6,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,291579.07,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,86755.29,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,601494.61,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,170038.31,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,422261.63,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,58594.34,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,37323.15,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,174924.26,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,944048.36,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,96659.24,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,156083.71,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,73010.13,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,338083.76,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1397689.48,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,2824.31,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1595587.46,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,730574.39,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,35401.13,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,344998.7,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,2754740.54,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,136827.66,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,656414.51,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,18736.82,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,150764.69,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,52673.85,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1976666.45,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,119998.02,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,368760.49,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1334919.42,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,59841.44,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,211679.22,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,286769.07,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,661741.39,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,72968.2,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,61846.05,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,408257.1,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,462452.87,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1789155.73,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,2144761.28,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,20068.65,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,839008.91,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,557950.06,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,175324.46,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1090527.71,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,220214.88,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,98897.07,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,504826.58,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,41476.63,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,71354.82,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,212929.49,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,330370.01,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1534985.07,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,136147.69,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,37127.26,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,40861.33,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,73110.82,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,3494.17,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,21418.86,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,194751.06,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,598.05,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,17484.29,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,522599.72,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,210743.77,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,365849.21,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,21698.13,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,395127.01,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,20128.0,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,120983.49,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,239121.18,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,232565.37,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,10000000.0,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,852625.46,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,3718503.37,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,403425.98,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,322585.04,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,452829.2,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,544394.35,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,177587.78,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,172362.84,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,1276300.86,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,5614246.07,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,54583.37,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,478447.99,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,605879.57,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,301825.24,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,155404.51,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,152758.72,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,62022.59,0,21.83,18854,4116,0.19,99.79,16,8146
